Regions Code,Regions,NumberOfDisabledPeople,HouseholdComposition,HouseholdCompositionNumber,Observation
E12000006,East of England,2,Single family aged 66 years and over,1,80160
E12000006,East of England,2,Single family aged 66 years and over,2,37753
E12000006,East of England,3,Couple family household,8,0
E12000006,East of England,3,Couple family household,0,866924
E12000006,East of England,3,Couple family household,1,212012
E12000006,East of England,3,Couple family household,2,78869
E12000006,East of England,4, Lone parent household,8,0
E12000006,East of England,4, Lone parent household,0,169496
E12000006,East of England,4, Lone parent household,1,71204
E12000006,East of England,4, Lone parent household,2,27738
E12000006,East of England,5,Other household types,8,0
E12000006,East of England,5,Other household types,0,105425
E12000006,East of England,5,Other household types,1,41500
E12000006,East of England,5,Other household types,2,23294
E12000007,London,8,Does not apply,8,0
E12000007,London,8,Does not apply,0,0
E12000007,London,8,Does not apply,1,0
E12000007,London,8,Does not apply,2,0
E12000007,London,1,One-person household,8,0
E12000007,London,1,One-person household,0,725791
E12000007,London,1,One-person household,1,276191
E12000007,London,1,One-person household,2,0
E12000007,London,2,Single family aged 66 years and over,8,0
E12000007,London,2,Single family aged 66 years and over,0,84501
E12000007,London,2,Single family aged 66 years and over,1,42595
E12000007,London,2,Single family aged 66 years and over,2,21113
E12000007,London,3,Couple family household,8,0
E12000007,London,3,Couple family household,0,1053948
E12000007,London,3,Couple family household,1,201189
E12000007,London,3,Couple family household,2,71447
E12000007,London,4, Lone parent household,8,0
E12000007,London,4, Lone parent household,0,296423
E12000007,London,4, Lone parent household,1,117533
E12000007,London,4, Lone parent household,2,39982
E12000007,London,5,Other household types,8,0
E12000007,London,5,Other household types,0,351687
E12000007,London,5,Other household types,1,99244
E12000007,London,5,Other household types,2,42246
E12000008,South East,8,Does not apply,8,0
E12000008,South East,8,Does not apply,0,0
E12000008,South East,8,Does not apply,1,0
E12000008,South East,8,Does not apply,2,0
E12000008,South East,1,One-person household,8,0
E12000008,South East,1,One-person household,0,751454
E12000008,South East,1,One-person household,1,330285
E12000008,South East,1,One-person household,2,0
E12000008,South East,2,Single family aged 66 years and over,8,0
E12000008,South East,2,Single family aged 66 years and over,0,226454
E12000008,South East,2,Single family aged 66 years and over,1,111725
E12000008,South East,2,Single family aged 66 years and over,2,48806
E12000008,South East,3,Couple family household,8,0
E12000008,South East,3,Couple family household,0,1283969
E12000008,South East,3,Couple family household,1,302565
E12000008,South East,3,Couple family household,2,107297
E12000008,South East,4, Lone parent household,8,0
E12000008,South East,4, Lone parent household,0,232380
E12000008,South East,4, Lone parent household,1,98428
E12000008,South East,4, Lone parent household,2,39033
E12000008,South East,5,Other household types,8,0
E12000008,South East,5,Other household types,0,169624
E12000008,South East,5,Other household types,1,68890
E12000008,South East,5,Other household types,2,37055
E12000009,South West,8,Does not apply,8,0
E12000009,South West,8,Does not apply,0,0
E12000009,South West,8,Does not apply,1,0
E12000009,South West,8,Does not apply,2,0
E12000009,South West,1,One-person household,8,0
E12000009,South West,1,One-person household,0,494729
E12000009,South West,1,One-person household,1,246594
E12000009,South West,1,One-person household,2,0
E12000009,South West,2,Single family aged 66 years and over,8,0
E12000009,South West,2,Single family aged 66 years and over,0,159365
E12000009,South West,2,Single family aged 66 years and over,1,85392
E12000009,South West,2,Single family aged 66 years and over,2,39366
E12000009,South West,3,Couple family household,8,0
E12000009,South West,3,Couple family household,0,753392
E12000009,South West,3,Couple family household,1,205223
E12000009,South West,3,Couple family household,2,76923
E12000009,South West,4, Lone parent household,8,0
E12000009,South West,4, Lone parent household,0,134774
E12000009,South West,4, Lone parent household,1,63508
E12000009,South West,4, Lone parent household,2,25549
E12000009,South West,5,Other household types,8,0
E12000009,South West,5,Other household types,0,94587
E12000009,South West,5,Other household types,1,43958
E12000009,South West,5,Other household types,2,25520
W92000004,Wales,8,Does not apply,8,0
W92000004,Wales,8,Does not apply,0,0
W92000004,Wales,8,Does not apply,1,0
W92000004,Wales,8,Does not apply,2,0
W92000004,Wales,1,One-person household,8,0
W92000004,Wales,1,One-person household,0,266183
W92000004,Wales,1,One-person household,1,163376
W92000004,Wales,1,One-person household,2,0
W92000004,Wales,2,Single family aged 66 years and over,8,0
W92000004,Wales,2,Single family aged 66 years and over,0,67701
W92000004,Wales,2,Single family aged 66 years and over,1,44029
W92000004,Wales,2,Single family aged 66 years and over,2,26278
W92000004,Wales,3,Couple family household,8,0
W92000004,Wales,3,Couple family household,0,370603
W92000004,Wales,3,Couple family household,1,118282
W92000004,Wales,3,Couple family household,2,53461
W92000004,Wales,4, Lone parent household,8,0
W92000004,Wales,4, Lone parent household,0,93116
W92000004,Wales,4, Lone parent household,1,49551
W92000004,Wales,4, Lone parent household,2,19169
W92000004,Wales,5,Other household types,8,0
W92000004,Wales,5,Other household types,0,38903
W92000004,Wales,5,Other household types,1,21647
W92000004,Wales,5,Other household types,2,14813
